aluno_id,nome_completo,genero,data_nascimento,curso_id,departamento,ano_matricula,estatuto,email_institucional,nacionalidade,regime
A00181,André Moreira,M,1992-10-16,MEC,DETI,2023,Ativo,a00181@ua.pt,Brasil,Ordinário
A00182,Gonçalo Jesus,M,2005-07-10,LPE,DEP,2025,Ativo,a00182@ua.pt,Portugal,Ordinário
A00183,Miguel Pereira,M,2003-07-07,LGT,DEGEIT,2021,Ativo,a00183@ua.pt,Portugal,Ordinário
A00184,Diogo Gonçalves,M,2003-07-08,LMAT,DMAT,2024,Ativo,a00184@ua.pt,Portugal,Ordinário
A00185,Rodrigo Vieira,M,1996-02-28,MDS,DETI,2020,Ativo,a00185@ua.pt,Portugal,Ordinário
A00186,Maria Martins,F,1993-03-15,LPE,DEP,2024,Ativo,a00186@ua.pt,Portugal,Ordinário
A00187,Beatriz Gonçalves,F,2003-07-28,MMKT,DEGEIT,2021,Ativo,a00187@ua.pt,Portugal,Ordinário
A00188,Marta Pereira,M,1998-12-05,LT,DEGEIT,2023,Ativo,a00188@ua.pt,Portugal,Ordinário
A00189,Pedro Neves,F,1995-11-15,MMKT,DEGEIT,2022,Ativo,a00189@ua.pt,Portugal,Trabalhador-Estudante
A00190,Diogo Costa,F,1992-10-01,MTR,DLC,2021,Concluído,a00190@ua.pt,Brasil,Ordinário
A00191,Catarina Rocha,M,2004-12-23,LGT,DEGEIT,2023,Ativo,a00191@ua.pt,Portugal,Ordinário
A00192,Tiago Rodrigues,F,2007-10-20,LPE,DEP,2023,Ativo,a00192@ua.pt,Portugal,Ordinário
A00193,Catarina Oliveira,F,1998-02-04,MTR,DLC,2023,Ativo,a00193@ua.pt,Portugal,Ordinário
A00194,Sofia Correia,M,2006-01-30,LMAT,DMAT,2025,Ativo,a00194@ua.pt,Portugal,Internacional
A00195,Catarina Correia,M,2000-06-13,LGT,DEGEIT,2025,Ativo,a00195@ua.pt,Portugal,Internacional
A00196,Rita Costa,F,1992-10-14,MFIN,DEGEIT,2025,Ativo,a00196@ua.pt,Portugal,Ordinário
A00197,Catarina Jesus,M,1991-10-09,MDS,DETI,2022,Ativo,a00197@ua.pt,Portugal,Ordinário
A00198,Mariana Neves,F,2003-04-11,LGT,DEGEIT,2021,Ativo,a00198@ua.pt,Portugal,Trabalhador-Estudante
A00199,Tomás Jesus,F,1991-10-28,MIEEC,DETI,2020,Desistência,a00199@ua.pt,Portugal,Ordinário
A00200,Carolina Almeida,F,2001-03-03,MFIN,DEGEIT,2022,Ativo,a00200@ua.pt,Portugal,Ordinário
A00201,Rita Moreira,M,2000-03-04,MMKT,DEGEIT,2020,Ativo,a00201@ua.pt,Portugal,Ordinário
A00202,Beatriz Vieira,F,1997-01-04,MEC,DETI,2023,Ativo,a00202@ua.pt,Portugal,Ordinário
A00203,Diogo Martins,M,1995-06-04,LEM,DEGEIT,2024,Ativo,a00203@ua.pt,Portugal,Ordinário
A00204,Tomás Fernandes,M,1995-07-27,MMKT,DEGEIT,2021,Concluído,a00204@ua.pt,Portugal,Ordinário
A00205,André Cardoso,M,1996-12-02,MED,DEP,2025,Ativo,a00205@ua.pt,Portugal,Ordinário
A00206,Rodrigo Almeida,F,1991-02-19,MDS,DETI,2022,Ativo,a00206@ua.pt,Portugal,Ordinário
A00207,André Gonçalves,M,1993-01-02,LEM,DEGEIT,2022,Ativo,a00207@ua.pt,Portugal,Ordinário
A00208,Gonçalo Moreira,M,2002-05-30,LEB,DBIO,2022,Ativo,a00208@ua.pt,Portugal,Ordinário
A00209,Miguel Rocha,F,1992-03-03,LEM,DEGEIT,2024,Ativo,a00209@ua.pt,Espanha,Ordinário
A00210,Inês Fernandes,M,2001-03-20,LEB,DBIO,2020,Ativo,a00210@ua.pt,Portugal,Ordinário
A00211,Mariana Sousa,F,1997-05-10,LT,DEGEIT,2023,Ativo,a00211@ua.pt,Portugal,Ordinário
A00212,Filipa Pereira,M,2000-08-26,MTR,DLC,2019,Ativo,a00212@ua.pt,Cabo Verde,Ordinário
A00213,Tomás Almeida,M,1995-12-16,LEI,DETI,2022,Ativo,a00213@ua.pt,Portugal,Ordinário
A00214,Afonso Pereira,F,2005-04-08,MMKT,DEGEIT,2022,Ativo,a00214@ua.pt,Portugal,Ordinário
A00215,Mariana Almeida,F,1999-04-06,MFIN,DEGEIT,2021,Ativo,a00215@ua.pt,Brasil,Ordinário
A00216,Filipa Almeida,F,2001-08-20,MIEEC,DETI,2021,Ativo,a00216@ua.pt,Portugal,Ordinário
A00217,Filipa Jesus,M,2001-12-16,LPE,DEP,2023,Ativo,a00217@ua.pt,Portugal,Ordinário
A00218,Carolina Sousa,M,2002-07-08,LQ,DQ,2023,Ativo,a00218@ua.pt,Portugal,Ordinário
A00219,Matilde Jesus,M,2000-10-05,MTR,DLC,2023,Ativo,a00219@ua.pt,Portugal,Ordinário
A00220,Carolina Ferreira,M,1997-09-28,MMKT,DEGEIT,2021,Ativo,a00220@ua.pt,Portugal,Ordinário
A00221,Luís Rocha,M,1994-10-19,LF,DF,2021,Concluído,a00221@ua.pt,Portugal,Ordinário
A00222,Marta Santos,F,1991-02-20,LQ,DQ,2025,Ativo,a00222@ua.pt,Portugal,Ordinário
A00223,Catarina Costa,F,2005-04-12,MTR,DLC,2021,Ativo,a00223@ua.pt,Portugal,Trabalhador-Estudante
A00224,Carolina Fernandes,M,2004-08-04,MTR,DLC,2021,Ativo,a00224@ua.pt,Portugal,Ordinário
A00225,Rita Monteiro,F,2002-01-01,LGT,DEGEIT,2020,Concluído,a00225@ua.pt,Brasil,Ordinário
A00226,Matilde Sousa,M,2007-09-03,MIEEC,DETI,2025,Ativo,a00226@ua.pt,Brasil,Ordinário
A00227,Catarina Cardoso,M,1996-05-20,LEM,DEGEIT,2024,Desistência,a00227@ua.pt,Portugal,Trabalhador-Estudante
A00228,Matilde Moreira,M,1994-04-29,MED,DEP,2020,Ativo,a00228@ua.pt,Portugal,Ordinário
A00229,Pedro Costa,M,2007-09-26,LEI,DETI,2022,Ativo,a00229@ua.pt,Portugal,Ordinário
